company,client,item,qty,price
BNR,TNU,22880,10,6
XHP,RRN,21370,29,5
OZH,AUE,17124,39,8
YBF,QHI,23950,12,13
OFJ,HWR,26486,7,23
JFP,CYO,11616,26,32
MXA,AMZ,15099,15,5
LUF,BFM,28576,12,10
WOM,ZEN,8714,4,10
FHG,ROP,32566,3,21
EGM,WVI,2477,3,26
LUH,QTU,30835,29,3
QHX,KGL,5531,35,3
XOJ,DFH,8913,19,17
DHK,OBB,4346,12,20
IKR,MBR,11282,8,15
ZBG,BTA,7380,45,24
WGL,XCP,27150,48,29
VCU,TWY,6029,36,5
SDL,IFN,18873,23,8
HZX,OEB,17380,38,16
KAF,JMR,852,40,32
CIK,YDD,13985,25,31
DGQ,TEY,22400,11,26
SUU,YNQ,15972,5,30
ERB,ZFZ,23567,25,7
ONH,HDG,12654,18,8
CWM,KQF,164,23,19
PHX,KLH,25465,8,2
XYV,RWI,21377,44,10
OFE,NWR,27661,17,17
NVL,YCH,9469,11,16
OZI,TQB,32646,28,30
YZR,NIM,22316,2,19
QGY,BKU,19848,42,7
IOS,PGX,22395,31,13
ZMA,SHJ,10825,11,8
ZEJ,ZZX,30531,24,19
AWZ,KWF,7383,10,7
XIW,IVZ,4879,31,2
FLG,GDN,4423,10,17
PHP,VMD,7085,45,12
NXM,BAS,21046,38,21
BMK,KGG,32441,11,16
KVK,KFM,23507,48,14
GJH,RDV,9782,44,23
FNI,SMP,22303,38,15
GCU,QAF,24251,7,17
LAD,KPC,26755,23,10
PZJ,XSW,11125,12,15
LSB,DWT,13001,25,1
XDH,KTG,27201,41,18
XWK,IKK,9748,41,10
JWJ,UVE,15750,18,29
IOH,DVM,17619,13,32
DZF,NXJ,8740,42,4
YWC,NEQ,10503,24,18
NVB,HQJ,14333,6,12
HMH,SUZ,28941,0,4
KQP,HPL,15911,6,24
KNU,LOF,17333,18,14
WFU,MRG,28327,17,28
ALB,ZRP,16168,45,4
JAU,RES,31304,18,11
SHK,FUT,20800,36,26
WUH,KDV,27360,17,19
UZZ,FQE,15138,40,24
QJP,MNY,1770,7,7
USH,IOX,11098,40,29
DBQ,HAH,16563,8,28
MUW,ZLI,22105,45,0
AEC,PBG,6860,2,20
NZY,XTV,27855,22,7
ZOR,SEY,25834,4,29
JYA,VKR,23736,19,20
QNZ,IWX,4509,46,1
FKL,BAY,403,14,30
JSW,KIM,7793,29,9
UVB,WOD,13619,45,12
GQN,DKV,29018,41,14
ZKV,GYO,1530,40,21
BFE,YDU,6089,19,20
HCO,DMJ,22012,43,27
BQV,OAG,21433,29,27
GFK,NRQ,29248,32,10
ZUI,GJZ,8481,9,32
ZCS,KPU,8722,34,9
IHZ,NHW,3184,45,31
DAN,UQX,26600,36,25
QWS,QPA,25855,0,21
HPP,WWC,19607,48,3
PPR,FTA,115,35,13
JTQ,EFZ,18290,19,6
BTC,EAW,21247,15,27
MPZ,QJK,9202,42,27
PJQ,UAI,7109,32,20
REX,MUL,30492,6,28
CQW,SMD,5937,28,23
IAO,NNW,14962,22,4
VPS,RTJ,27299,25,2
HYB,OKP,14616,34,14
MQQ,PAJ,13271,35,2
IKK,XYU,5898,27,6
FTN,SAP,21519,47,22
OLY,CRB,16856,17,28
PNR,IRQ,9734,42,4
HRX,GIF,29324,26,0
GET,VVU,28798,32,32
FES,MYU,988,14,31
ARV,HAY,12678,18,8
ZFU,QHZ,4217,20,14
NPP,IKD,19564,30,0
CMR,ZTU,8391,16,0
VSV,SGP,16640,42,29
KOB,PNV,13980,24,15
PNN,OZM,23938,1,29
NVE,YPM,21273,20,9
ZHH,XCN,23562,42,17
JVE,BOJ,16987,31,6
NIY,AZP,8880,14,7
RJS,ERF,3177,13,15
RNB,WUE,25486,2,25
KNL,OBA,19962,7,11
QOS,EYU,5541,10,12
NBH,DCV,22045,29,16
WPR,CHK,22189,33,23
BXW,YBK,13769,46,17
GBW,HKL,27494,47,14
RAR,OSC,19059,44,31
HYQ,LCH,25808,31,4
CKM,QGW,24522,34,28
DNE,CRW,2074,15,3
UFW,GWK,14921,40,32
BRF,WBG,26964,6,32
XKV,MFI,23895,0,0
HAV,GGV,5968,43,19
IZM,OLO,20891,35,28
OGX,OUL,20697,44,5
UWY,EKX,12532,31,25
PZF,KQE,1604,39,0
KYA,QWB,1643,10,26
NBN,AVW,4814,33,7
OEM,CGX,22738,40,19
XNF,RQA,31221,45,13
DQJ,ISR,2045,38,20
IMO,HDN,7369,4,12
CPM,LIQ,31895,26,13
EKY,DLV,16487,14,7
OST,ESH,334,8,26
HNK,RUE,679,40,22
WNL,XLR,17859,45,19
FHH,UTQ,9868,43,5
JRS,FWH,23737,36,22
ZYD,DJL,20911,32,15
VRC,ETN,29693,44,17
ZWW,INF,7963,9,16
LJX,JYG,24929,23,10
MCC,KNE,20071,9,31
XVC,HSR,7810,5,20
MMS,OSC,2143,46,30
ZTZ,KZI,16427,38,22
QTF,GJD,3068,5,21
AIT,RPS,32140,45,9
PQN,ZIK,9328,43,23
TRT,OIV,3228,6,7
IVR,XCW,32073,35,19
JPN,CUX,31943,11,15
IWA,IRN,2893,26,32
TPP,QSJ,5352,3,31
CRP,MOJ,12315,27,11
OWU,PHD,30106,23,15
EMV,TDK,4804,7,0
RUT,TQB,12342,29,12
OGQ,YVJ,25720,34,12
KHL,DKN,17684,37,23
KSZ,WVG,31107,2,7
JWJ,TNR,10287,41,31
MTK,XTE,31952,36,25
HQL,MEZ,24799,19,6
RGE,LFP,9682,45,4
IJS,KPS,17334,12,23
XUO,SUP,4704,18,10
GDG,QCI,8600,31,31
YLP,ZRO,19553,21,8
MBD,ALN,18255,37,14
HBS,EFZ,27768,37,21
RUL,MRN,25085,7,12
TQG,YZH,23333,25,19
XOF,EXD,10923,39,32
TEF,GBJ,29314,30,9
XAC,CTE,24836,15,25
JKM,IAN,9074,38,12
OJX,WCD,24816,16,29
GOV,CNP,27643,31,15
JDO,MDE,19674,26,32
JYT,CCV,20741,29,24
LSW,DRG,21329,0,10
RER,WZK,3146,1,17
OEP,UZV,30823,23,29
KOK,SYD,28544,3,0
UXY,YYM,23191,4,21
SAQ,XFQ,5019,2,30
BJV,RTS,22068,25,13
CUI,CZQ,4920,35,1
XTK,WAM,6174,40,3
ZSU,USF,13641,40,28
RGM,HRG,2402,40,2
ZAY,ZML,21534,46,6
PTF,RCA,7074,27,27
DDA,DRH,24317,36,23
DNZ,VAQ,24777,16,12
BEE,HWW,31282,9,16
POK,PIT,9911,35,8
NSX,XWE,32264,16,5
OVM,FZO,29912,14,29
ZEJ,SXN,20744,0,7
TEA,GUF,2991,26,0
DSG,URK,23106,41,14
WTD,WIB,26573,10,0
DDI,KWE,7121,29,14
ZIO,OTD,25834,37,26
LQP,AFH,1923,17,25
IBF,IEC,29680,43,21
NTS,OTH,14721,48,3
AKJ,EHV,30699,39,12
BWC,UBS,3308,30,26
BLY,FSB,31004,23,26
ZVN,SBP,19809,28,26
QPD,XQT,18713,37,18
NEL,RMC,16287,11,13
QUC,ELK,32632,40,10
EWV,EMF,18590,27,2
ITX,BHV,21252,11,30
UVK,ZKU,25621,19,32
JQQ,HNW,28818,6,24
LFY,QHC,15695,37,31
FYO,FWQ,15155,39,5
DSP,NSS,13613,27,28
YXX,TJE,27500,26,25
DAE,BRZ,17731,30,21
RRF,TUC,28883,17,20
PGN,PJC,20044,45,11
YOL,OUA,13112,11,28
KDX,LCH,21523,18,7
VTO,OKH,23150,30,31
DRO,BFD,10535,16,23
ERM,JPH,4023,19,19
SVS,KNN,26815,24,9
DLP,WTD,6796,47,22
ODT,NWS,279,40,29
NNM,MZL,23400,17,26
AQU,NKH,25527,44,8
XJV,LWE,11420,10,21
WDR,DTP,27426,14,31
JAL,HGJ,12222,26,10
QYX,IAJ,16513,37,26
YQH,FBS,7868,46,29
KEQ,XWC,30073,39,10
PYU,ESF,14004,5,24
ONI,LEV,13404,5,18
ITG,MFE,10305,19,33
TYA,FSX,30791,2,30
GOP,YVJ,11422,12,4
OAE,FHH,26571,6,22
TDV,OJB,2192,40,24
NBN,HTD,25750,24,18
CBI,IQP,3971,23,25
QMU,XXW,182,15,14
OPO,VQL,30392,13,17
ESY,RLL,22549,45,23
MKF,TDY,30104,0,1
VZG,HDM,8641,15,25
ITG,GZW,15310,30,31
RRD,RRE,6321,42,25
EMG,MBP,24892,3,2
XLY,JLV,30949,6,25
VOV,KUG,10131,15,29
SHP,SZZ,27030,32,4
ICC,RZW,11444,24,12
HGZ,OEW,6181,34,2
KYG,RRU,29121,38,31
PYU,EWO,29186,44,32
SPQ,MWO,12521,47,27
NTY,FDQ,18516,3,21
TGN,EUQ,14508,10,10
JWL,NTM,25785,22,12
NWC,DUX,24806,29,0
NZI,UOA,22246,36,8
ZDK,CXL,29270,16,21
UJH,KOB,12832,31,5
MLZ,OSX,7153,38,17
NZB,QJK,8738,32,23
PQB,LSN,7893,4,10
IZA,HFA,26199,12,0
DHB,LPF,4227,20,26
ELP,ZZZ,22934,16,0
KRL,NOR,9456,30,18
VEE,YPS,14572,39,2
DGA,CXV,22564,26,17
GHM,SJW,18600,4,14
AAT,BWR,22792,3,32
UXX,EFQ,31128,35,22
DCR,XMJ,11482,44,29
MDI,ABT,18530,7,0
XYA,XLO,21927,4,16
KAP,VGQ,9267,24,5
JLP,WBH,21038,3,18
SHR,QBM,2217,29,28
XXW,AHK,25970,23,8
FYR,CJS,26987,3,25
BTQ,NWK,17543,42,22
QHY,IAP,8222,14,13
VUI,AHU,26939,35,8
FFF,VPP,30872,10,8
RZU,KJD,2875,10,11
JEO,BQJ,5607,1,5
SOM,LCK,10622,19,0
EFV,FGP,11828,1,7
BLI,MDC,3771,16,30
EPM,ABI,17473,16,7
SKN,QQD,25602,0,9
YMS,XFE,534,17,9
QIB,WJU,16633,33,26
JVJ,ARY,28757,2,21
SYA,MFB,13805,3,21
XFK,HOT,1945,3,31
YJK,HAV,3355,16,19
YDV,YUZ,3015,23,31
AHQ,TAL,2219,14,7
PPC,ATJ,26931,38,2
AYV,IYW,22069,44,14
DVU,SZI,24489,35,5
UBX,XSJ,30025,30,31
NQY,ZTE,12098,20,12
CJO,FHE,14887,9,22
NOZ,KBE,12965,18,8
GWN,TOU,15030,19,12
BUH,LGO,12696,36,27
JBB,MCJ,5591,9,30
JTV,ZGG,10103,48,0
UVU,UPW,5718,6,8
KMC,PRY,11260,0,15
BAU,ORY,30811,9,18
JMF,IHX,25620,33,5
CYR,UMF,1541,22,5
TYB,QUE,32384,6,24
RWJ,UON,17197,31,10
AAH,WCD,30434,0,6
QBD,HGP,6000,45,3
VJX,TKJ,26971,26,17
SDI,YYE,5538,48,31
ETT,FMA,28887,45,30
PYI,AIC,24744,44,28
CTM,PYV,25746,1,17
XXK,OUX,1377,8,24
PNE,OLZ,22176,1,3
WSA,GFS,26791,1,23
QPH,PKR,22744,41,13
FGO,PAM,31930,31,0
FBZ,SFY,18555,22,9
JEY,KCU,19480,16,20
SQC,AGY,32513,4,20
CBK,KCT,28720,38,18
HSI,MLR,14082,0,7
IJK,DQR,4826,33,30
BQB,DBC,22003,18,30
WGN,TGW,3126,27,25
ZEE,RTC,24961,44,26
GKH,KDK,8871,45,6
QPJ,UUD,24161,18,25
QFI,HUL,27418,44,27
AXC,SBR,15234,17,5
DWS,AEN,7896,11,9
GXA,XDA,15665,35,19
VSK,SIC,14190,21,25
HVA,YFA,20976,36,17
YBR,NTR,11741,29,22
YOM,JJG,20723,20,17
BPX,SYA,17110,45,6
ZGQ,OIU,12046,25,14
MEP,CBG,27787,34,22
YCB,PYJ,22544,3,29
NSD,RWO,24244,47,16
UUM,YWW,13322,27,7
BGI,PSV,14966,10,0
MON,LPT,29933,27,17
WUT,PXV,13969,0,1
PJH,RSZ,4749,40,23
BTD,JRO,5967,37,17
COI,UTE,8043,13,8
MCQ,ABV,19282,24,17
YFU,CBG,18212,20,17
WOS,OME,22195,17,9
GZR,FWT,13485,5,11
RCN,QTI,9558,17,18
UVU,CWM,24859,30,9
HGY,AWI,27213,33,18
OZJ,JDA,10239,30,26
IPV,XBH,3630,17,18
DLP,OCM,17015,8,23
VSA,MLL,24344,46,0
HMP,SUK,21180,4,16
SAS,IXQ,31391,46,26
AUZ,LBG,3837,20,21
BUT,CEM,10533,25,19
CBZ,XKO,4596,13,30
PAT,VLB,31425,38,19
QRM,MYN,25626,1,17
LIM,KBW,14644,25,15
VBY,KDE,23378,32,2
CZM,KGG,9819,38,26
YPI,QVA,16663,9,8
NPQ,DYE,6455,4,24
YCG,AFK,17698,36,23
KHZ,IZQ,31518,1,27
XUF,LHQ,17688,7,20
APP,DTL,30955,3,31
AFI,PFS,17391,37,21
GRG,PFP,10814,42,24
WFH,NKD,29531,45,23
ZMH,XZN,31670,20,31
BOH,WOZ,8793,36,7
HXG,LXE,13228,18,24
OHW,RSZ,7089,16,26
DIA,NEQ,20050,22,3
EFC,WIK,6042,47,3
ETC,CAA,20302,45,4
AEF,ZXR,18569,6,17
HLJ,FUZ,15791,9,1
OMW,JOI,21816,33,31
DXW,SDW,6742,38,15
QWV,PKH,15425,16,6
HAB,VMR,5510,22,19
SZX,IBP,14693,39,1
TRT,ORQ,19032,7,1
UGA,FSK,11897,26,16
NBN,IDY,25218,25,24
RVM,RTD,25814,11,19
IUE,GFT,20840,11,27
AIT,RSL,12359,32,15
HVI,WBJ,11490,12,30
KSU,VJM,27335,27,12
UHJ,LEF,2028,23,5
DMW,OGO,19087,34,11
THF,LFQ,8722,35,22
WYC,EYG,7748,36,3
LON,SPX,8639,13,0
NXI,DEF,8996,9,8
YHB,HBV,11801,45,32
XYP,MFY,17399,2,19
RAT,KTS,16350,41,2
VUX,DCM,23372,0,32
FCE,ZIP,10510,0,11
BFA,TDK,30733,39,3
MXJ,VEI,30187,44,19
ZOA,DKU,27317,29,12
LYI,LVD,14160,8,24
GCS,HYR,6537,23,10
HKV,MYG,19255,14,3
PSJ,NLY,21229,8,21
PLR,ZJD,4441,30,7
IQW,ITE,13687,16,5
LQQ,GVZ,15999,10,19
ZZU,OMA,13491,0,26
YRH,GVM,7170,34,8
BGU,CFT,6776,22,26
NRK,GBM,25462,4,25
XIK,PVA,1583,24,16
LEM,YPO,12624,48,24
HJB,LTL,14567,33,17
MTM,HRW,29485,40,9
AZP,ZVL,27496,45,28
LHO,OTZ,19881,38,15
ETI,HVC,19893,16,15
DQC,BIW,30587,24,10
POL,XMJ,1887,39,24
ASF,KCB,10097,47,12
BMZ,DSF,3182,4,14
HMZ,ONB,20743,3,17
BQM,KCY,28926,16,26
PNL,FPP,28861,40,12
CVV,OKU,23172,43,8
HXW,JOD,15878,32,20
QUO,IQY,6729,5,10
XHE,HLI,29202,17,8
AQI,VDV,13171,20,26
IEW,JAH,3240,36,9
DII,CPV,2756,1,7
CQG,AEI,6840,39,5
LUY,KQT,17475,40,8
SIH,ISV,24749,21,25
UBT,JHL,16365,38,2
FFY,RDK,10589,41,22
FIE,XPG,16730,31,24
XMG,XHL,23124,26,28
VLE,GKL,28614,16,29
QFH,CPE,21749,41,7
EJK,EHF,25213,3,26
ABR,AMA,15321,30,18
HEB,QWL,17980,46,22
BHF,LTK,11683,10,24
MEM,WKC,18238,24,21
NZN,EBP,1989,12,28
ALZ,LKF,25055,6,28
ICE,XMS,19478,39,11
IPL,MJZ,32625,25,6
KAR,PFL,32312,21,3
FNL,IUR,13226,32,29
EAD,BNW,3215,8,20
UBQ,IOA,20455,44,4
AYH,FZG,1690,5,27
MFY,HYJ,4829,48,0
ERH,PPP,10373,33,3
OGW,XNJ,26618,24,5
QZP,ZYM,32049,5,32
GKS,DEN,22737,11,9
FDA,VCA,9161,45,2
TZS,DQJ,5959,37,20
DYT,FHV,1804,38,23
OIV,JHX,29131,33,17
HDJ,XSS,28357,26,21
KTA,TSW,4620,17,5
ZXZ,RPW,7957,22,7
MYR,DKF,19728,19,18
VBL,SXM,7350,36,9
DOO,EIY,14467,28,16
BYI,ADU,25869,20,0
TRM,CRN,23260,46,28
NAJ,GSD,19790,13,3
YBP,PPM,28437,35,8
GAO,REK,27613,6,30
AUS,LSS,14015,35,15
ZTC,LXI,26063,1,8
NTL,DJW,9940,26,16
VJL,CKR,22261,22,32
LEN,UKY,6932,48,23
MFA,NQD,4625,26,30
FRS,MRB,29812,8,16
VVT,DVW,6815,38,17
YVO,MKN,27117,11,16
JCW,ZEC,26619,24,8
QXC,RHK,24572,6,7
IFZ,IFD,18216,40,3
MDP,NNP,26530,48,18
PIR,CZN,28899,38,26
BJO,TAC,31513,14,5
HDC,EEK,32345,31,23
WWJ,SEN,8661,11,11
GEN,BUR,24339,26,25
TCB,TYA,13647,0,7
TYX,EEU,6926,12,21
AJP,QWH,1595,46,1
DRK,SSW,23785,35,6
NUI,RLS,3244,44,25
BUP,AHN,3528,31,32
UAT,RKL,27197,0,5
AAF,PLY,10216,12,13
IXY,DXP,19054,2,7
FVM,UTB,19652,5,15
AEQ,UGU,3165,30,2
IZO,ATU,2762,39,24
CCR,UQC,29284,24,4
POY,SIX,22156,34,8
ZGR,ZLM,8216,43,7
YRR,KVN,25087,4,2
FJF,HVN,21241,20,23
YLJ,PCM,31549,14,6
LPU,UTH,3735,15,1
NZM,FQF,9050,31,7
BXJ,YVG,5390,44,13
RIN,ISN,4013,27,1
NKG,ZMB,32482,14,6
XCM,TKJ,21161,13,28
LJE,PKX,10288,31,30
HSL,BDE,2368,44,22
RVI,TQM,30474,27,15
YUE,WQF,29201,36,0
FLK,KGD,4228,31,26
FKV,XAK,32164,31,18
WNB,XNC,28171,32,15
MHI,YQZ,23025,15,8
RKB,YXD,11188,12,19
SKC,XOP,32492,27,24
JDL,RPD,29902,5,23
EKJ,HQM,8974,40,22
CIX,GKE,13337,36,1
WTC,TYA,5253,17,15
VGN,UFZ,173,7,0
TWD,UBI,1854,27,5
SDL,BET,16873,41,14
WNN,URN,27340,46,30
YBA,AKE,5934,1,23
AAU,BEN,3987,8,4
ZCR,VNS,18485,15,11
JYL,CUW,19722,21,1
VTV,IQU,29840,31,0
NDM,UGN,19827,21,7
QDB,DAI,237,15,31
RBB,CZM,5285,25,27
CCI,KBP,693,16,16
JXU,PGB,32317,19,1
NOL,TXE,8070,36,6
ONL,IZJ,15214,41,15
ZVO,KRX,1826,16,24
IUI,VCW,6573,4,9
WCK,RJC,21848,48,25
HIX,CLI,11746,26,14
ZWV,MYJ,2475,14,7
SLY,RKH,4828,17,16
GVO,IGE,21581,17,27
ZRY,MSO,27036,31,31
GYT,GMJ,16562,12,14
LLZ,JZW,11574,0,14
HLD,AYO,4464,34,14
RYP,SLN,30800,11,2
YKU,KSK,5089,15,32
NCW,WWP,25194,40,10
DQR,ENA,14891,14,1
GRB,NEB,10267,32,16
VIQ,IVT,12245,35,4
TOP,HAA,27063,12,0
KIY,QHO,15092,8,24
GKL,LQG,2224,2,12
PLE,ROC,14096,38,31
EOF,SWM,13228,37,13
CBT,ATC,2905,46,30
SMX,SYM,23082,31,3
JJY,MUN,7837,32,7
RTP,DGT,6597,23,22
CQS,VXU,64,27,28
WWS,VLB,12508,25,0
JRT,IJW,5895,29,24
EAI,MMK,6775,42,21
NHD,DIQ,14063,44,2
CEX,KUF,19275,8,18
MRN,CAM,32620,14,33
ZWH,HIC,26940,33,4
VWD,LRJ,32585,10,12
SUK,WUD,24909,43,31
GGB,GMM,20141,9,24
KJI,JDK,3507,26,4
OTB,HGV,8064,38,30
RER,QWR,24984,1,31
XWK,BOM,25929,25,15
FMT,ZBO,19583,34,20
CES,GUK,23472,27,6
OQE,JVQ,8394,42,3
XSG,NYS,22003,7,23
WYH,VMW,4019,15,22
KZZ,WNO,29749,13,7
AES,QNE,1444,48,7
IIX,OIK,7069,30,19
EMA,HIL,15238,8,23
VVW,EYB,3269,23,24
UWM,OMI,3191,45,19
ZDY,QVR,31584,16,31
FLT,FQV,13842,8,13
NWF,YJX,5751,14,19
GJZ,XBV,3147,27,15
TQC,WYO,24892,0,30
RDQ,FSO,25377,10,29
WAQ,LFE,25633,40,29
VCD,ZIT,1798,23,10
NZS,NIC,20768,48,3
EFU,WEP,11573,11,3
WUL,DLY,7187,11,19
DMQ,UGW,29277,33,6
ZAD,UAV,23757,18,8
UHM,HXS,17365,34,3
YXM,WTU,5711,19,32
IVZ,XCI,19260,7,6
APA,UUB,31318,17,12
RUA,HDP,25812,12,4
CLW,VOL,27811,48,17
QXG,CVB,32475,1,30
YAM,NKP,370,11,23
XVX,EJS,7125,37,5
ENL,KLJ,179,17,21
GEP,LTK,15661,8,7
WSU,FVX,1581,19,14
TWT,AFE,7686,39,28
ZXG,BYI,27465,32,30
TFG,YGM,16912,16,5
TJB,CNB,29038,5,31
YSB,XAM,14356,0,31
DOG,ZEQ,22767,24,13
XZV,BCW,3430,44,1
QXD,YCH,20148,40,12
NRA,VZI,12958,0,18
OGN,PXN,154,45,17
RIK,PLT,15502,34,27
XDT,KQZ,21359,39,1
PCD,OIP,17657,40,3
LMZ,JYM,22068,0,4
AKH,UAA,5922,2,11
RGW,PFM,31950,8,17
AMB,ZYD,26564,34,31
GYA,KNG,18374,12,6
PGX,NQL,21167,8,25
DFJ,DZR,15416,40,5
ECA,TQG,16330,42,16
ZHK,RJT,13164,12,1
CNW,OLN,9385,44,32
EHR,KKN,6977,14,21
SNO,PFO,30924,41,22
GQE,CRI,24681,1,11
ZJW,REU,12573,31,6
FUK,EWM,4258,28,28
RHG,LTV,17245,2,8
YPJ,HUA,26867,35,0
RUZ,UBF,23816,42,13
JOH,FXL,28099,22,4
EOA,BID,22290,19,21
XXZ,DYP,32490,11,16
MIM,AIX,4898,17,23
XMB,NFL,15436,40,16
IFI,DZG,21093,26,14
OCK,PGO,7573,10,8
GNK,FSG,23999,31,24
QLR,LBU,24736,37,29
DNE,NNE,23327,11,5
LCH,XAF,6662,4,32
KCQ,RYL,15100,22,2
PGS,TUE,16352,18,5
SKU,XVY,16222,40,20
YBT,GPL,819,41,1
LQR,OTP,20328,5,30
LIT,IQZ,28144,25,18
AFB,RBK,18064,19,2
UFR,CVP,30216,20,30
QFS,WHK,20557,7,16
VNJ,ORK,13788,34,16
VUG,WGT,19783,27,12
OFI,DOR,13533,20,3
MPH,DLD,19356,12,1
NMW,GCS,17954,28,5
MZP,VRX,1083,42,8
JMB,TPZ,23942,46,15
WDU,RPI,21295,6,15
IBB,DQA,3881,5,12
QKD,JGF,5693,46,2
RKN,ULS,12457,39,2
WOS,LJR,32248,2,4
BUQ,EGR,31833,21,7
HZV,YGX,25086,9,5
NJA,LYM,12887,1,22
FFU,NNR,8221,33,20
OOI,NGU,859,23,31
XWI,GRX,6776,5,30
MKX,RMK,26362,10,7
SNA,JUD,24443,27,14
FUN,KUT,18348,36,25
FLJ,GIG,10044,42,19
HMH,YVN,29912,42,31
WTJ,QSL,12644,34,32
VZV,PEL,24029,29,28
AOH,ZJZ,13836,11,5
VDA,RVV,8645,20,18
EVN,KHY,27186,2,10
YPC,GKN,13121,26,31
NEQ,KZA,8145,1,11
SCI,UTB,10532,6,4
EIC,XTM,7565,20,19
WLN,TVH,17404,23,14
CUE,YEM,31288,3,14
IDE,FSE,7172,5,14
ZIS,WMV,7405,1,0
XPS,RDI,22286,41,3
LVZ,DEH,597,4,18
QPJ,RHC,15553,17,23
PUN,JUG,21507,15,25
ZUB,MXP,16933,26,21
RDI,WBP,11973,1,10
JPH,BVS,26249,44,15
CZD,IFO,637,18,26
WIK,CMI,3929,42,5
RSI,YMY,25105,33,31
BIF,YIB,28293,17,4
JWM,EXO,1711,1,17
XRQ,VLO,29158,3,32
SKW,JWN,2771,42,1
GFK,VWX,22202,4,11
DDO,CQB,4887,14,18
TVU,PEI,129,9,10
CXE,WGH,21585,35,12
EJY,ASI,20384,2,4
EGC,MBS,25082,48,0
UFW,ECC,4445,7,11
PHT,TKQ,10956,10,26
LHH,MLI,3033,45,15
VBR,GGJ,5083,2,12
HEW,CBL,20845,29,12
IHJ,APN,29597,42,20
SJI,HEQ,28894,16,7
NYH,HTE,9005,8,18
AUG,HWX,11613,45,31
VTL,BBY,4402,18,29
BJQ,QAS,6227,31,25
IPT,NXW,16315,46,13
VWB,BLB,22159,33,32
ULW,NJO,667,38,30
MUA,OXN,21080,29,13
JKV,YYW,26608,19,10
QHC,HWP,29015,0,4
VXI,XIQ,19047,5,10
KSY,RQN,30108,30,2
BBM,EAA,12308,25,2
QUM,JIB,17850,34,9
IQE,THP,730,35,11
VRV,SOS,3991,39,7
GRN,DRM,19176,23,4
HLP,EAM,25845,7,14
WEX,IZB,22067,38,10
CBT,IVK,31342,9,18
BSP,VSY,9367,26,12
FMV,TKG,31542,25,26
TSV,LVX,25421,26,9
JTE,LNX,10874,38,10
TJH,WKL,2320,8,3
BVI,DAW,20416,47,24
JAY,JRM,8150,25,27
TKY,MEQ,25070,22,30
JHQ,PIZ,10707,28,16
URS,LNL,7396,11,24
TPB,WZP,31284,31,18
ENH,VZQ,12962,25,20
VTQ,JPP,19805,8,32
XWE,CUJ,26116,16,4
RGS,ATN,12441,17,16
PYT,VZH,20506,30,1
CYW,CLI,9725,39,27
CFG,HBD,14366,44,17
WSR,GVA,29314,26,0
GCM,FAH,24865,22,1
PEG,PPS,24448,38,17
VHE,LKZ,28636,27,32
VGN,SUS,9670,26,31
HNF,SSL,6711,28,19
BAV,EGB,23543,4,28
RZR,TKT,27060,44,25
IQX,OGK,25268,45,26
OUJ,LOF,21733,5,8
NIN,KLD,22521,12,5
AYP,LLX,29260,15,5
UTP,HLA,9469,39,26
RJD,RBE,2610,3,30
ITW,KFB,31231,28,21
IFB,JBM,2268,17,29
JLZ,BDE,22391,45,27
ZOB,GLC,29483,41,18
YBC,LAL,16513,43,12
QKB,PWP,12832,46,7
XNJ,JAP,3104,8,15
XKT,HVB,22269,30,7
RYU,QOZ,16373,44,13
UDE,IAP,2946,17,6
IIJ,CLP,10900,8,4
BRA,TCN,32480,6,19
BFV,IQX,19504,8,15
WRT,DXG,6797,21,22
VTZ,IBT,20848,13,28
QRY,IMH,18707,38,9
XLF,DWH,11412,34,31
GVG,SFY,30267,15,22
WDK,LTR,29507,42,17
ARD,IAW,25414,32,28
QQB,HMZ,21966,30,26
OGE,WIL,29683,23,6
ROC,LFB,6773,42,26
XAP,RMO,17577,28,18
JME,PUG,26531,48,9
ZJM,YXK,19175,48,22
YZO,UWD,22422,1,16
IDQ,HWF,5574,45,21
ZIO,HBC,21229,34,12
OBX,IMQ,4627,20,1
ZGR,RBM,21333,20,28
RQJ,ELB,17908,38,19
FMT,FBQ,15546,12,28
ZZM,MES,30877,8,9
RMF,LBR,24026,29,16
OVW,TVW,27438,33,18
GAU,IKN,17903,5,9
AFR,UCO,6418,0,3
DEA,OQM,5315,12,10
JHU,NIB,18197,40,14
FFV,CDH,29379,14,10
QFD,KFC,7393,46,24
WGE,KRF,20883,4,32
UQA,BUQ,20961,17,23
LPG,XMK,18367,39,21
QMX,QPV,7218,16,22
KVI,FNM,21974,33,21
OUK,AAW,7404,3,19
FXG,SZA,9061,4,24
NAL,UMX,4608,10,25
ZAH,BXX,30494,3,3
BWT,YHQ,29610,18,13
XHC,NMQ,27570,44,13
ZVW,FGC,16908,3,17
KHA,FPS,29438,21,8
KVH,KPN,22330,2,22
KFR,CPC,17087,40,12
TOH,EHA,12854,41,3
MLB,KBK,6399,29,23
BXQ,UPR,27118,10,20
YZW,XOL,10840,10,1
HVA,TTK,11112,48,32
OJV,IGI,28668,46,1
BYF,JQN,20610,7,20
KGJ,EAJ,16869,26,16
BXS,TFF,22743,17,1
FPK,LYX,13456,25,12
WFF,YSN,32067,40,8
ELH,MLX,1766,40,17
DAN,YVR,6969,0,21
KIH,AGL,30245,44,9
MFL,OEE,8744,4,10
